"query","result__author","result__canonicalUrl","result__category","result__content___key","result__content___type","result__content__children___key","result__content__children___type","result__content__children__marks__001","result__content__children__marks__002","result__content__children__text","result__content__markDefs___key","result__content__markDefs___type","result__content__markDefs__href","result__content__level","result__content__listItem","result__content__style","result__excerpt","result__faqSchemaJson","result__featuredImage","result__featuredImageAlt","result__metaDescription","result__metaTitle","result__publishedDate","result__readTime","result__robotsTag","result__slug","result__title","syncTags","ms"
"*[_type == ""blogPost""]{
  title,
  ""slug"": slug.current,
  excerpt,
  content,
  ""author"": coalesce(author->name, author),
  publishedDate,
  category,
  readTime,
  ""featuredImage"": featuredImage.asset->url,
  ""featuredImageAlt"": seo.featuredImageAlt,
  ""canonicalUrl"": seo.canonicalUrl,
  ""robotsTag"": seo.robotsTag,
  ""metaTitle"": seo.metaTitle,
  ""metaDescription"": seo.metaDescription,
  ""faqSchemaJson"": seo.faqSchemaJson
}
","Rajat Panda","https://sr3.global/blog/iso-45001-and-iso-14001","Technology","6c525a8cf278","block","de7261c39b62","span","","","In today’s competitive business environment, companies need to prioritize both ","","","","","","normal","Learn the key differences and benefits of ISO 45001 and ISO 14001. Discover how these standards help businesses improve workplace safety, environmental management, and sustainability.","null","https://cdn.sanity.io/images/2w9skpd2/production/ae37abba89bf0e0a99aa4787dd614204ef5ca249-1015x669.png","null","Learn the differences between ISO 45001 and ISO 14001. Time-bound, cost-effective, and sustainable compliance solutions for safety and environment management.","ISO 45001 and ISO 14001: Safety & Environmental Standards","null","8 min read","index, follow","iso-45001-and-iso-14001","ISO 45001 and ISO 14001 – Key Differences, Similarities, and Business Benefits","s1:3jujhw","201"
"","","","","","","95638e4668ab","span","strong","","employee safety","","","","","","","","","","","","","","","","","","s1:lIhs9w",""
"","","","","","","9cba3de2212b","span","",""," and ","","","","","","","","","","","","","","","","","","s1:toieqQ",""
"","","","","","","8efb73ba0bda","span","strong","","environmental responsibility","","","","","","","","","","","","","","","","","","s1:qbWSFA",""
"","","","","","","896a6c62bb7b","span","","",". ","","","","","","","","","","","","","","","","","","s1:81V8UA",""
"","","","","","","56331b648d26","span","strong","","ISO 45001 and ISO 14001","","","","","","","","","","","","","","","","","","s1:h5MEvA",""
"","","","","","","e865fd0e499d","span","",""," are internationally recognized standards that help organizations systematically manage occupational health and safety as well as environmental impact. These standards are critical for businesses seeking compliance, operational efficiency, and sustainability.","","","","","","","","","","","","","","","","","","s1:gXmEYA",""
"","","","","50be570674de","block","883409169581","span","","","Within the first 50 words: ","","","","","","normal","","","","","","","","","","","","s1:ZXEZRQ",""
"","","","","","","2c85d1ed81b8","span","strong","","ISO 45001 and ISO 14001","","","","","","","","","","","","","","","","","","s1:5W6v6A",""
"","","","","","","a27e5dd32e63","span","",""," guide organizations in creating safer workplaces and environmentally responsible operations. ISO 45001 focuses on occupational health and safety management systems, while ISO 14001 focuses on environmental management systems. Together, they provide a framework for integrated management that benefits both employees and the environment.","","","","","","","","","","","","","","","","","","s1:xhnGxg",""
